sample_index,t_s,fx_n,fy_n,fz_n,tx_nm,ty_nm,tz_nm
120,1.5351363009976922,0.0,0.0,0.0,0.0,0.0,0.0
121,1.5431203460029792,0.0,0.0,0.0,0.0,0.0,0.0
122,1.5511402279953472,0.0,0.0,0.0,0.0,0.0,0.0
123,1.5592037710011937,0.0,0.0,0.0,0.0,0.0,0.0
124,1.5671428729983745,0.0,0.0,0.0,0.0,0.0,0.0
125,1.5751356739929179,0.0,0.0,0.0,0.0,0.0,0.0
126,1.5831352090026485,0.0,0.0,0.0,0.0,0.0,0.0
127,1.591131235996727,0.0,0.0,0.0,0.0,0.0,0.0
128,1.5991882179951062,0.0,0.0,0.0,0.0,0.0,0.0
129,1.6071419859945308,0.0,0.0,0.0,0.0,0.0,0.0
130,1.6151303200022085,0.0,0.0,0.0,0.0,0.0,0.0
131,1.6231313360040076,0.0,0.0,0.0,0.0,0.0,0.0
132,1.6311370519979391,0.0,0.0,0.0,0.0,0.0,0.0
133,1.6391244539991021,0.0,0.0,0.0,0.0,0.0,0.0
134,1.6471442649926757,0.0,0.0,0.0,0.0,0.0,0.0
135,1.6551301739964401,0.0,0.0,0.0,0.0,0.0,0.0
136,1.6631760849995771,0.0,0.0,0.0,0.0,0.0,0.0
137,1.6711322180053685,0.0,0.0,0.0,0.0,0.0,0.0
138,1.6791303799982416,0.0,0.0,0.0,0.0,0.0,0.0
139,1.6871745370008284,0.0,0.0,0.0,0.0,0.0,0.0
140,1.6951547149947146,0.0,0.0,0.0,0.0,0.0,0.0
141,1.7031342319969554,0.0,0.0,0.0,0.0,0.0,0.0
142,1.7111706150026293,0.0,0.0,0.0,0.0,0.0,0.0
143,1.7191407140053343,0.0,0.0,0.0,0.0,0.0,0.0
144,1.7271581810055068,0.0,0.0,0.0,0.0,0.0,0.0
145,1.7351503819954814,0.0,0.0,0.0,0.0,0.0,0.0
146,1.743152461000136,0.0,0.0,0.0,0.0,0.0,0.0
147,1.7511367059923941,0.0,0.0,0.0,0.0,0.0,0.0
148,1.7591592829994624,0.0,0.0,0.0,0.0,0.0,0.0
149,1.767155270994408,0.0,0.0,0.0,0.0,0.0,0.0
150,1.775159654993331,0.0,0.0,0.0,0.0,0.0,0.0
151,1.7831284910062095,0.0,0.0,0.0,0.0,0.0,0.0
152,1.7911347879999084,0.0,0.0,0.0,0.0,0.0,0.0
153,1.799147747005918,0.0,0.0,0.0,0.0,0.0,0.0
154,1.80713566999475,0.0,0.0,0.0,0.0,0.0,0.0
155,1.8151133229985135,0.0,0.0,0.0,0.0,0.0,0.0
156,1.8231148210034007,0.0,0.0,0.0,0.0,0.0,0.0
157,1.8311063300061505,0.0,0.0,0.0,0.0,0.0,0.0
158,1.8391233769943938,0.0,0.0,0.0,0.0,0.0,0.0
159,1.8470989359921077,0.0,0.0,0.0,0.0,0.0,0.0
160,1.8551654649927514,0.0,0.0,0.0,0.0,0.0,0.0
161,1.8631474870053353,0.0,0.0,0.0,0.0,0.0,0.0
162,1.8711437949968968,0.0,0.0,0.0,0.0,0.0,0.0
163,1.879145051992964,0.0,0.0,0.0,0.0,0.0,0.0
164,1.8871719970047707,0.0,0.0,0.0,0.0,0.0,0.0
165,1.8951498910028022,0.0,0.0,0.0,0.0,0.0,0.0
166,1.9031492749927565,0.0,0.0,0.0,0.0,0.0,0.0
167,1.9111652400024468,0.0,0.0,0.0,0.0,0.0,0.0
168,1.9191357399977278,0.0,0.0,0.0,0.0,0.0,0.0
169,1.9271147359977476,0.0,0.0,0.0,0.0,0.0,0.0
170,1.9351162329985527,0.0,0.0,0.0,0.0,0.0,0.0
171,1.9431061299983412,0.0,0.0,0.0,0.0,0.0,0.0
172,1.9511441149952589,0.0,0.0,0.0,0.0,0.0,0.0
173,1.959137368001393,0.0,0.0,0.0,0.0,0.0,0.0
174,1.9671464800048852,0.0,0.0,0.0,0.0,0.0,0.0
175,1.9751522159931483,0.0,0.0,0.0,0.0,0.0,0.0
176,1.9831488539930433,0.0,0.0,0.0,0.0,0.0,0.0
177,1.9911509130033664,0.0,0.0,0.0,0.0,0.0,0.0
178,1.99915918399347,0.0,0.0,0.0,0.0,0.0,0.0
179,2.007150202000048,0.0,0.0,0.0,0.0,0.0,0.0
180,2.0151782790053403,0.0,0.0,0.0,0.0,0.0,0.0
181,2.0231474269967293,0.0,0.0,0.0,0.0,0.0,0.0
182,2.0311532219930086,0.0,0.0,0.0,0.0,0.0,0.0
183,2.039152636003564,0.0,0.0,0.0,0.0,0.0,0.0
184,2.0471535230026348,0.0,0.0,0.0,0.0,0.0,0.0
185,2.0551436399982776,0.0,0.0,0.0,0.0,0.0,0.0
186,2.0632049790001474,0.0,0.0,0.0,0.0,0.0,0.0
187,2.071136005994049,0.0,0.0,0.0,0.0,0.0,0.0
188,2.079151179001201,0.0,0.0,0.0,0.0,0.0,0.0
189,2.0871389509993605,0.0,0.0,0.0,0.0,0.0,0.0
190,2.095135178999044,0.0,0.0,0.0,0.0,0.0,0.0
191,2.1031246240017936,0.0,0.0,0.0,0.0,0.0,0.0
192,2.1111642829928314,0.0,0.0,0.0,0.0,0.0,0.0
193,2.1191290319984546,0.0,0.0,0.0,0.0,0.0,0.0
194,2.1271370820031734,0.0,0.0,0.0,0.0,0.0,0.0
195,2.135131717004697,0.0,0.0,0.0,0.0,0.0,0.0
196,2.143128516996512,0.0,0.0,0.0,0.0,0.0,0.0
197,2.1511311369977193,0.0,0.0,0.0,0.0,0.0,0.0
198,2.15913551999256,0.0,0.0,0.0,0.0,0.0,0.0
199,2.167126778003876,0.0,0.0,0.0,0.0,0.0,0.0
200,2.175141871004598,0.0,0.0,0.0,0.0,0.0,0.0
201,2.1831330599961802,0.0,0.0,0.0,0.0,0.0,0.0
202,2.1911343569954624,0.0,0.0,0.0,0.0,0.0,0.0
203,2.199140513999737,0.0,0.0,0.0,0.0,0.0,0.0
204,2.2071402889996534,0.0,0.0,0.0,0.0,0.0,0.0
205,2.215156563994242,0.0,0.0,0.0,0.0,0.0,0.0
206,2.2230986109934747,0.0,0.0,0.0,0.0,0.0,0.0
207,2.2311092970048776,0.0,0.0,0.0,0.0,0.0,0.0
208,2.2391135299985763,0.0,0.0,0.0,0.0,0.0,0.0
209,2.2471498619997874,0.0,0.0,0.0,0.0,0.0,0.0
210,2.255128388002049,0.0,0.0,0.0,0.0,0.0,0.0
211,2.2631552329985425,0.0,0.0,0.0,0.0,0.0,0.0
212,2.2711228669941192,0.0,0.0,0.0,0.0,0.0,0.0
213,2.279137139004888,0.0,0.0,0.0,0.0,0.0,0.0
214,2.2871578729973407,0.0,0.0,0.0,0.0,0.0,0.0
215,2.295130036000046,0.0,0.0,0.0,0.0,0.0,0.0
216,2.3030987929960247,0.0,0.0,0.0,0.0,0.0,0.0
217,2.3111358269961784,0.0,0.0,0.0,0.0,0.0,0.0
218,2.3191145729942946,0.0,0.0,0.0,0.0,0.0,0.0
219,2.3271365690015955,0.0,0.0,0.0,0.0,0.0,0.0
220,2.335141403003945,0.0,0.0,0.0,0.0,0.0,0.0
221,2.3431301870004972,0.0,0.0,0.0,0.0,0.0,0.0
222,2.351134780998109,0.0,0.0,0.0,0.0,0.0,0.0
223,2.3591328420006903,0.0,0.0,0.0,0.0,0.0,0.0
224,2.367148075994919,0.0,0.0,0.0,0.0,0.0,0.0
225,2.375116302006063,0.0,0.0,0.0,0.0,0.0,0.0
226,2.383144399005687,0.0,0.0,0.0,0.0,0.0,0.0
227,2.391168670001207,0.0,0.0,0.0,0.0,0.0,0.0
228,2.399150530996849,0.0,0.0,0.0,0.0,0.0,0.0
229,2.4071359189983923,0.0,0.0,0.0,0.0,0.0,0.0
230,2.4151834929944016,0.0,0.0,0.0,0.0,0.0,0.0
231,2.4231290570023702,0.0,0.0,0.0,0.0,0.0,0.0
232,2.431141013992601,0.0,0.0,0.0,0.0,0.0,0.0
233,2.4391162730025826,0.0,0.0,0.0,0.0,0.0,0.0
234,2.4471348929946544,0.0,0.0,0.0,0.0,0.0,0.0
235,2.4551342369959457,0.0,0.0,0.0,0.0,0.0,0.0
236,2.463152265001554,0.0,0.0,0.0,0.0,0.0,0.0
237,2.471134737992543,0.0,0.0,0.0,0.0,0.0,0.0
238,2.4791546299966285,0.0,0.0,0.0,0.0,0.0,0.0
239,2.487137353004073,0.0,0.0,0.0,0.0,0.0,0.0
240,2.495133802003693,0.0,0.0,0.0,0.0,0.0,0.0
241,2.503127174000838,0.0,0.0,0.0,0.0,0.0,0.0
242,2.5111728140036575,0.0,0.0,0.0,0.0,0.0,0.0
243,2.5191369929962093,0.0,0.0,0.0,0.0,0.0,0.0
