sample_index,t_s,ur_fx_n,ur_fy_n,ur_fz_n,ur_tx_nm,ur_ty_nm,ur_tz_nm,onrobot_fx_n,onrobot_fy_n,onrobot_fz_n,onrobot_tx_nm,onrobot_ty_nm,onrobot_tz_nm
249,1.9998973550027586,0.12022618674413967,-0.3551509593718043,-0.9063250552361082,0.024555614438390595,0.00047491730631594965,0.0025434369942121163,0.09158199999999982,0.05867200000453133,-0.28333999999906173,-0.0006330000000000004,0.0016520000000114668,-0.0007169999999735799
250,2.007622037999681,0.3174919630577734,-0.34963752547801435,-1.0789774648719972,0.02377218363168062,0.010730105498755613,-0.008541638868552442,0.08158199999999978,0.04867200000581073,-0.3633399999992217,0.0013669999999999995,0.0026520000000114664,-0.0007169999999575886
251,2.015862565000134,-0.24091093739483435,-0.2296226770285487,-1.8989606696112475,-0.010040191136548894,0.01908661855416274,-0.012373823769620547,0.06158199999999977,0.04867200000581073,-0.3633399999992216,0.0013669999999999989,0.0036520000000274592,-0.0017169999999415962
252,2.0236571179993916,-0.24441503616056273,-0.33149577410779063,-1.2866931772698258,0.02703420622798202,-0.008285031075036657,-0.0024706259686080555,0.07158199999999974,0.038672000006610356,-0.4133399999993816,0.0023669999999999984,0.004652000000043451,-0.002716999999925604
253,2.031695857003797,-0.32348258071088454,-0.48113564942974874,-1.0953691853202696,0.029213441934459298,-0.022305982260169097,0.004742452444328972,0.11158199999999985,0.06867200000405155,-0.25333999999890183,-0.005632999999999999,-0.0013480000000205185,0.0012829999999784457
254,2.0399138420034433,-0.3915898385983709,-0.7105325993377699,-0.9759280681957245,0.04385017460852714,-0.015997931551854503,-0.0009247763242876335,0.08158199999999995,0.048672000001332816,-0.08333999999922166,-0.007632999999999998,-0.003348000000036511,0.0022829999999464615
255,2.047634768001444,-0.20170364023651785,-0.4835586528092436,-1.1074177795637377,0.034084983412505224,-0.015210487206964558,-0.002812001802226059,0.12158199999999988,0.06867200000277214,-0.17333999999890184,-0.008632999999999998,-0.004348000000036511,0.0022829999999304696
256,2.0559384820007836,-0.251923563500372,0.0021046191969844473,-1.5415286071417922,-0.010730388094200873,0.011520631310774396,-0.0057603817617582435,0.0915819999999999,0.06867200000229236,-0.14333899999890182,-0.008632999999999998,-0.0043480000000525034,0.0032829999999304696
257,2.063667392998468,-0.07961485599781165,0.03217157155134282,-1.6682902415542755,-0.00657463038194354,0.030678231619535472,-0.006235569471941175,0.11158199999999978,0.07867200000549089,-0.3433399999987419,-0.006632999999999998,-0.002348000000036511,0.0022829999999624535
258,2.0716954230010742,-0.15256172338068472,-0.5992239927834466,-1.0096089249020872,0.03326967730486729,-0.010835551597973865,0.0037059845838299096,0.08158199999999972,0.028672000006930206,-0.43333999999954154,-0.0006330000000000011,0.004652000000027459,-0.0017169999999256023
259,2.079940688003262,-0.13617128298247874,-0.1186763687085938,-0.914870768864545,0.02998946802471827,-0.005621582320747649,0.002090528934706173,0.07158199999999977,0.02867200000597067,-0.3733409999995415,-0.0006330000000000011,0.004652000000027459,-0.0017169999999256023
260,2.087655823001114,-0.33020399940906386,-0.41237800737061125,-1.0651012814789687,0.034031600834407365,-0.017146461407760015,0.00533043216867621,0.1015819999999998,0.05867200000517101,-0.32333899999906174,-0.006633,-0.001348000000004526,0.0002829999999784462
261,2.095625633999589,-0.05944717910730998,-0.6448228209289588,-1.099169202826432,0.04105539062548897,-0.010568980122798033,0.0020679336102779797,0.051581999999999836,0.038672000004211476,-0.26333999999938157,-0.0026330000000000004,0.0026520000000114664,-0.0007169999999575861
262,2.1038914680029848,-0.1528931714907086,-0.7523634303202926,-0.9907116668649301,0.04070693182141998,-0.00623145445300183,0.0047501607324546705,0.07158199999999988,0.058672000003092,-0.19333999999906173,-0.0026330000000000004,0.0006520000000114666,-0.0007169999999895711
263,2.1116915610036813,-0.2330844354400759,-0.6232946018691107,-0.8831883970239327,0.0356989692677814,-0.013195728744487902,-0.0001379039594591741,0.08158199999999995,0.04867200000149274,-0.09333999999922167,-0.005632999999999998,-0.003348000000036511,0.0022829999999464602
264,2.119722877003369,-0.2533950859164435,-0.6049932766240871,-1.146020751592626,0.04215933828633894,-0.017629502036095288,-0.0016005244507336794,0.07158199999999984,0.028672000004371402,-0.27333999999954156,-0.002632999999999999,-0.0013480000000205185,0.0012829999999784437
265,2.1276014570030384,-0.282446216403256,-0.4924243737553588,-1.0204051619331678,0.03770272656836689,-0.012590084477204803,9.478840569715065e-05,0.05158199999999977,0.008672000005970671,-0.3733409999998613,0.0023669999999999997,0.0026520000000114664,-0.0007169999999575892
266,2.135705398002756,0.29660599748567695,0.09315834065056255,-1.6918580633166977,-0.013676407610777791,0.03482035619188547,-0.015785950885173823,0.11158199999999975,0.05867200000629049,-0.39333899999906174,0.00036700000000000014,-0.0003480000000045259,0.00028299999999443435
267,2.1436839750022045,-0.23861706232509658,-0.033658078279615894,-1.4398927567145192,0.001176155818573746,0.016349375859612655,-0.01654139332679225,0.14158199999999985,0.0686720000043714,-0.27333999999890185,-0.003632999999999999,-0.004348000000020519,0.0012829999999304667
268,2.151706565004133,-0.279632648200028,-0.4947052851860707,-0.8437822963055435,0.027298984372752737,-0.012178276689281732,0.00045048958677667086,0.10158199999999983,0.05867200000453133,-0.28333999999906173,-0.001632999999999999,-0.0013480000000205185,0.001282999999978443
269,2.1602605170046445,-0.6446466510758425,-0.47667866352323746,-0.9361111728784072,0.04234344746231653,-0.027142919980368288,0.0038464705328073606,0.06158199999999978,0.03867200000549088,-0.34333999999938153,0.0023669999999999997,0.0016520000000114668,-0.0007169999999735818
270,2.1677384990034625,0.5832759051467247,-0.31214384032824166,-1.1967781938814566,0.011123955657081104,0.02138800726310067,-0.011211084913222105,0.13158199999999978,0.07867200000581073,-0.3633399999987419,-0.003632999999999999,-0.003348000000020518,0.0012829999999464593
271,2.1756237119989237,-0.43756125308916827,-0.428675531227129,-0.7939332359549778,0.027678142679617594,-0.015188666189601022,-0.0012680358552238926,0.1915819999999998,0.08867200000469126,-0.29334099999858204,-0.009632999999999996,-0.008348000000068495,0.0042829999998665
272,2.183785451001313,0.39616011060305456,-0.21366346861175195,-1.664849093764445,-0.003462643784845358,0.033965908923550496,-0.013231828991977859,0.1615819999999999,0.04867200000293207,-0.1833399999992217,-0.007632999999999998,-0.008348000000052503,0.003282999999866499
273,2.1916458970008534,0.48004822969938554,-0.6355130567275512,-1.0671870754490718,0.03470342043859911,0.0036335140011798943,0.005922499520711615,0.13158199999999998,0.03867200000053319,-0.03333999999938162,-0.007632999999999998,-0.008348000000052503,0.003282999999866499
274,2.1997582050025812,-0.48415845944077857,-0.5895362590948088,-1.5290004868913616,0.01497979013662347,0.0076782949314171366,-0.00996410619016401,0.09158199999999979,0.05867200000533095,-0.3333399999990618,-0.002633,-0.001348000000004526,0.0002829999999784437
275,2.2076865380004165,0.05950583007976783,-0.5967387652522869,-0.3869236577474909,0.039576964129749745,-0.011625813001327851,0.012957499399338821,0.05158199999999971,0.06867200000741,-0.46334099999890177,-0.0016329999999999997,0.0016519999999954741,0.0002830000000264207
276,2.2157164509990253,-0.07967087062745087,-0.5888928261023094,-0.8316975396786144,0.04116815806152383,-0.010186358314021867,0.010017515433611885,0.11158199999999963,0.06867200000964893,-0.6033399999989019,-0.0026329999999999978,-0.0023480000000525034,0.003282999999962451
277,2.2236806209984934,-0.089971029108854,-0.5956868347462089,-0.8971448602135808,0.0388857241666907,-0.007278652804925516,0.009484068637478136,0.0915819999999998,0.05867200000501109,-0.31333899999906173,-0.002632999999999999,-0.002348000000020518,0.0012829999999624513
