checkpoint,elapsed_end_s,elapsed_end_h,samples_cumulative,rate_hz_cumulative,samples_window,duration_window_s,rate_hz_window,Fx_N_mean,Fx_N_std,Fy_N_mean,Fy_N_std,Fz_N_mean,Fz_N_std,Mx_Nm_mean,Mx_Nm_std,My_Nm_mean,My_Nm_std,Mz_Nm_mean,Mz_Nm_std
26,23399.993051637954,6.499998069899432,23399767,999.9903396707232,899992,899.9509237289894,1000.0456427899873,2.4172362244819845,0.01239102765987769,-1.0706150952918914,0.011729425930222638,-0.8987047730346258,0.010432174547726096,0.051979344447325854,0.00032364223185732925,-0.06435805634516373,0.00032353561296843454,0.061728294503963034,0.0003145628786054437
27,24299.95353440597,6.749987092890547,24299712,999.9900602935052,899945,899.9110398970079,1000.0377371778837,2.416682873392641,0.012554289579277324,-1.0719097137321505,0.011793138002013813,-0.8983805280644164,0.01041215591380889,0.05195116036091471,0.00032372618789801375,-0.06437442656567825,0.0003259868195911352,0.061754691105542575,0.0003146144602167104
28,25199.957281398005,6.999988133721668,25199704,999.9899491338348,899992,899.9553213530453,1000.0407560754234,2.415410643761378,0.012615634148078245,-1.0713589716354923,0.011841209845542572,-0.8982592480917785,0.010433714616774337,0.05196086025803828,0.0003252699569650548,-0.06437982454970176,0.00032633887763524423,0.061803520580381056,0.0003147753334460422
29,26099.965263538004,7.249990350982779,26099698,999.9897600040725,899994,899.9588689630036,1000.039036269554,2.413617803461256,0.012458981662142942,-1.0710788524965944,0.011590227320088669,-0.898511501308344,0.010433161851536997,0.05197287178138945,0.00032216829479128953,-0.06437497728315554,0.000325186116495413,0.06183000773125565,0.00031508747230909784
30,26999.97020100197,7.499991722500547,26999691,999.9896592107366,899993,899.9566197599634,1000.0404244373983,2.414375818807191,0.012795308475830786,-1.0702446912901322,0.011945260383041707,-0.8990543427201624,0.01043797212513521,0.05199205424122332,0.00032695800277555525,-0.06441005831807282,0.0003290077320539304,0.06187225912880779,0.0003148080741940205
31,27899.970679738966,7.749991855483046,27899684,999.9897247297405,899993,899.9516434409888,1000.0459542013314,2.410470668536344,0.012567574665621365,-1.0713777538403186,0.011868957672691787,-0.8998886393004563,0.01041383095197633,0.05196699767488071,0.0003256352048962522,-0.06434796200178958,0.0003258177033807394,0.06189489291269175,0.0003150978332010964
32,28799.97199979698,7.999992222165828,28799677,999.9897569415351,899993,899.9522714969935,1000.0452562922462,2.4093389953970648,0.01263511651618539,-1.0691060333372815,0.011399496179581468,-0.9009297711901886,0.010441129881291688,0.05201479336218914,0.0003196238564688875,-0.06434250803987343,0.00032684877399079054,0.061931916446579485,0.00031478298306219333
33,29699.974782648962,8.249992995180268,29699670,999.9897379492343,899993,899.9534277970088,1000.0439713898174,2.4077018245903146,0.012786730899174686,-1.065305983358082,0.011853463160463817,-0.9026985074963768,0.010466293669103927,0.052088243230107904,0.0003255834408066999,-0.06431418989405985,0.00032906332372985633,0.06196595293660718,0.0003151750481184235
34,30599.97835406399,8.499993987239998,30599664,999.9897269841059,899994,899.9542845280375,1000.0441305437901,2.408232559492108,0.012619608754742603,-1.063256329287651,0.011816332189178762,-0.9055010132723573,0.010426658132271494,0.052112208795273965,0.0003251616028562299,-0.06429368259837553,0.00032633922844413777,0.06196584097375738,0.00031499041016068435
35,31499.980624665972,8.74999461796277,31499657,999.9897261947609,899993,899.953496186994,1000.0438953936768,2.408400170131024,0.012685434863268476,-1.0625368101774602,0.012568846596268137,-0.904810124440208,0.010449937598449158,0.05210804978564399,0.0003359577243350323,-0.0642627839122182,0.00032712687154517464,0.06198208080517294,0.0003156305246879599
36,32399.982427786977,8.999995118829716,32399651,999.9897707417676,899994,899.9523959279759,1000.0462291919132,2.4041126918867124,0.012861916011501466,-1.064659729444485,0.01163488697323232,-0.9061686486946967,0.010483531826183966,0.05205531049484007,0.0003231716859037184,-0.06418428011780279,0.0003303737382390701,0.061984667234328904,0.00031654143547435996
