elapsed_h,Fx_N,Fy_N,Fz_N,Mx_Nm,My_Nm,Mz_Nm
2.355584450817486,2.43223796,-1.07230979,-0.885088306,0.0518450458,-0.0644908663,0.060908044
2.3722516030633254,2.4357714,-1.08766642,-0.876395223,0.0516804481,-0.0648011333,0.0607858972
2.388917865030267,2.43353282,-1.11062988,-0.857754747,0.0516147031,-0.0646859597,0.0609374208
2.405584629362501,2.42804475,-1.08812425,-0.879310599,0.0516640815,-0.0647048196,0.0610906249
2.4222512798472113,2.45090321,-1.08037758,-0.878149593,0.0517000615,-0.0647789489,0.0610366023
2.4389180007538784,2.42693532,-1.10462128,-0.876914352,0.0513545041,-0.0644553658,0.0611209287
2.4555846878694463,2.43088538,-1.07899241,-0.870913723,0.0517354114,-0.064678676,0.0609471933
2.4722514413747154,2.43340072,-1.10684312,-0.865216681,0.051038844,-0.0645863991,0.0609268126
2.488918107618875,2.42635796,-1.10228451,-0.86617632,0.0514753951,-0.0645775628,0.0609857626
2.500029385771098,2.42936591,-1.09018798,-0.882106222,0.0511119777,-0.0646413762,0.0615898294
2.5166960045310973,2.4366381,-1.0923114,-0.870662087,0.0517482298,-0.064570165,0.0612077074
2.5333628193408204,2.44674448,-1.0921961,-0.900852861,0.0514039099,-0.0645502912,0.0610538
2.5500296144288828,2.41468594,-1.08635863,-0.878509147,0.0516304578,-0.0641904769,0.0604022682
2.5666962851763753,2.42090598,-1.08459155,-0.857798513,0.0519674803,-0.0644132391,0.0609175333
2.5833631258422165,2.43804256,-1.09636301,-0.88100827,0.0515504559,-0.0645213848,0.060758895
2.6000299453908196,2.43111188,-1.09263793,-0.873383255,0.0515552599,-0.0644713899,0.060966793
2.6166965939897153,2.40885972,-1.08303233,-0.870811067,0.0524973083,-0.0641465556,0.0612419293
2.6333635425586057,2.42382494,-1.08720239,-0.870820127,0.0518237244,-0.0643037919,0.0611429716
2.650030154739442,2.41555892,-1.09370322,-0.879221387,0.0513667334,-0.0641536474,0.0612728952
2.66669685584611,2.43546525,-1.09011323,-0.876395954,0.0518023072,-0.0643225971,0.0611150469
2.683363644893333,2.42500845,-1.06641657,-0.876052547,0.0523646309,-0.0643200353,0.0610187333
2.70003045724527,2.44336989,-1.08625809,-0.900572656,0.0517709805,-0.0649679732,0.0610526538
2.7166971092266614,2.43725696,-1.07765765,-0.883817044,0.0519464192,-0.0645979206,0.0612709681
2.7333638359030497,2.42219149,-1.08907432,-0.869165564,0.0521673274,-0.0644452188,0.0611868107
2.75003053785305,2.44602888,-1.07277777,-0.864857565,0.0524072782,-0.0649654205,0.0615694259
2.766697285335831,2.41931652,-1.07270851,-0.89272545,0.0519338611,-0.0642395722,0.0613130081
2.7778085850724894,2.43208905,-1.08449963,-0.899689224,0.0517670075,-0.0644169061,0.0610751488
2.794475124320274,2.43003241,-1.07126759,-0.887987096,0.0520245808,-0.0641220559,0.0614990504
2.8111419218497113,2.42133064,-1.08207196,-0.892175196,0.0521688983,-0.064462855,0.0611318611
2.827808650003879,2.4612773,-1.07756983,-0.892266746,0.051469801,-0.0651263969,0.0617290735
2.8444755400272133,2.43799857,-1.09659127,-0.863285347,0.051919376,-0.0648919077,0.0611773442
2.8611420848266667,2.44495263,-1.07239944,-0.873232741,0.0522844464,-0.0648307841,0.0605514354
2.8778088049822124,2.42223986,-1.08503578,-0.875491187,0.0519906648,-0.0644149196,0.0611625759
2.8944756641222114,2.43856073,-1.09664789,-0.867072757,0.0516415271,-0.064712423,0.06137573
2.911142374398882,2.4378767,-1.08479328,-0.880887055,0.051904151,-0.0646628391,0.0614338397
2.927808967265834,2.4297533,-1.09013581,-0.857895617,0.0516211465,-0.0644197328,0.0617320783
2.944475704584442,2.4293304,-1.07930279,-0.893688888,0.0517718847,-0.064563822,0.0617299411
2.96114245846832,2.43038196,-1.08358288,-0.878334813,0.0520469753,-0.0647791635,0.0608143881
2.9778091322063767,2.45199129,-1.0629185,-0.882967807,0.0522333282,-0.0651202731,0.0610205005
2.9944760742722103,2.44347729,-1.07620687,-0.888296308,0.0519750562,-0.0645281296,0.0617627474
3.0111427202386,2.41417448,-1.09353466,-0.873624078,0.0511914133,-0.0644285234,0.0613969646
3.027809285205828,2.42526783,-1.10231688,-0.879353196,0.0514822678,-0.0650683831,0.0614258436
