sample_index,t_s,ur_fx_n,ur_fy_n,ur_fz_n,ur_tx_nm,ur_ty_nm,ur_tz_nm,ur_vx_mps,ur_vy_mps,ur_vz_mps,ur_wx_radps,ur_wy_radps,ur_wz_radps,urcap_fx_n,urcap_fy_n,urcap_fz_n,urcap_tx_nm,urcap_ty_nm,urcap_tz_nm
1876,3.645927931,-0.264392793755,-3.30795320178,-6.10720998868,0.120971677835,-0.0112815579951,0.0118454645636,0,0,0,0,0,0,0.101582,0.108672000001,-0.0933399999983,-0.001633,0.00465200000001,-0.000716999999926
1877,3.647947007,-0.125737174024,-3.38464410158,-6.3149726126,0.117352322135,-0.000317508589812,0.00137225899893,0,0,0,0,0,0,0.101582,0.108672000001,-0.0933399999983,-0.001633,0.00465200000001,-0.000716999999926
1878,3.649926369,-0.287813755582,-2.85328193945,-6.58710566619,0.10665761992,-0.00985560683054,0.0099471283121,0,0,0,0,0,0,0.101582,0.108672000001,-0.0933399999983,-0.001633,0.00465200000001,-0.000716999999926
1879,3.651913515,-0.714885551935,-2.94969833425,-6.30193317968,0.11238879139,-0.0166707084802,0.0146124708604,0,0,0,0,0,0,0.101582,0.108672000001,-0.0933399999983,-0.001633,0.00465200000001,-0.000716999999926
1880,3.653920228,-0.396473630076,-3.06736891406,-6.1716705004,0.110700753806,-0.016192316341,0.00359129244426,0,0,0,0,0,0,0.101582,0.0886720000039,-0.243339999999,0.000367,0.00465200000004,-0.00271699999993
1881,3.655919547,-0.448676936391,-3.19998252147,-5.91207774772,0.124098987077,-0.0309179200276,0.00866020998026,0,0,0,0,0,0,0.101582,0.0886720000039,-0.243339999999,0.000367,0.00465200000004,-0.00271699999993
1882,3.657918536,-0.276884547227,-3.20737892921,-6.36003966462,0.116901454104,-0.0160197672596,0.0110701336652,0,0,0,0,0,0,0.101582,0.0886720000039,-0.243339999999,0.000367,0.00465200000004,-0.00271699999993
1883,3.659911924,-0.364399040342,-3.18646457005,-6.07920021,0.116633390545,-0.00308188880096,-0.000647364962923,0,0,0,0,0,0,0.101582,0.0886720000039,-0.243339999999,0.000367,0.00465200000004,-0.00271699999993
1884,3.661926071,-0.469306707035,-3.47002372736,-6.19373305485,0.118588933823,-0.00252985968803,0.00547809027254,0,0,0,0,0,0,0.101582,0.0986720000047,-0.293340999998,0.003367,0.00665200000004,-0.00271699999989
1885,3.663926803,-0.260165862075,-3.14607547757,-6.26089571535,0.109996572914,-0.00365470380679,-1.42802899872e-05,0,0,0,0,0,0,0.101582,0.0986720000047,-0.293340999998,0.003367,0.00665200000004,-0.00271699999989
1886,3.665918768,-0.186053836498,-2.94431436596,-6.04610469178,0.0983492820524,0.000931073215414,-0.000700736199315,0,0,0,0,0,0,0.101582,0.0986720000047,-0.293340999998,0.003367,0.00665200000004,-0.00271699999989
1887,3.667915352,-0.327155297984,-3.02294397244,-6.31890987116,0.121768008782,-0.0122942070433,3.69268212893e-05,0,0,0,0,0,0,0.101582,0.0986720000047,-0.293340999998,0.003367,0.00665200000004,-0.00271699999989
1888,3.669922005,-0.182897445246,-3.15974320119,-6.08553103912,0.115781993319,-0.014724308041,0.00782254420875,0,0,0,0,0,0,0.081582,0.118672000002,-0.143338999998,-0.001633,0.003652,0.000283000000058
1889,3.671935401,0.078045914678,-3.40762592249,-6.0840699309,0.13080235573,-0.00492114539573,0.0112962999839,0,0,0,0,0,0,0.081582,0.118672000002,-0.143338999998,-0.001633,0.003652,0.000283000000058
1890,3.673984333,0.129966789832,-3.34243456186,-6.02544306237,0.127371324307,-0.00599237340341,0.018366727104,0,0,0,0,0,0,0.081582,0.118672000002,-0.143338999998,-0.001633,0.003652,0.000283000000058
