row_index,write_index,contact_orientation_error_rad,outer_orientation_error_rad,orientation_error_abs_diff_rad,logged_step4e_orientation_error_rad,logged_bad_fixed_good,R_d_z_dot_R_cur_z,normal_load_n,force_error_n,outer_xdot_norm,orientation_consistent,xdot_norm_ok
65,11729,0.1412902823846107,0.1412902823846107,0.0,0.141290282,False,0.9900351219700196,0.1533054661341263,4.846694533865874,0.3530527454073961,True,True
66,11730,0.14126444757541104,0.14126444757541104,0.0,0.141264448,False,0.9900387597144159,0.15330205858316695,4.846697941416833,0.35298885768961075,True,True
67,11731,0.14126449842735744,0.14126449842735744,0.0,0.141264498,False,0.9900387525547101,0.1533001283041659,4.846699871695834,0.35298954687436995,True,True
68,11732,0.14134781336762636,0.14134781336762636,0.0,0.141347813,False,0.9900270187808182,0.1533100684554712,4.846689931544529,0.35319865801317274,True,True
69,11733,0.14129922487388813,0.14129922487388813,0.0,0.141299225,False,0.990033862643224,0.15330329356592634,4.846696706434074,0.353078446359019,True,True
70,11734,0.14132348335961106,0.14132348335961106,0.0,0.141323483,False,0.9900304460412689,0.15330625354633645,4.8466937464536635,0.35313895871692935,True,True
71,11735,0.1412792064930711,0.1412792064930711,0.0,0.141279206,False,0.9900366816236097,0.15330332641966168,4.846696673580339,0.3530293442174794,True,True
72,11736,0.1412785092115622,0.1412785092115622,0.0,0.141278509,False,0.9900367798073627,0.15330238068796628,4.8466976193120335,0.3530284200810057,True,True
73,11737,0.14129737768209913,0.14129737768209913,0.0,0.141297378,False,0.9900341227806491,0.15330283146412133,4.846697168535878,0.35307697760033574,True,True
74,11738,0.1413122909298603,0.1413122909298603,0.0,0.141312291,False,0.9900320224724568,0.15330456217034777,4.846695437829652,0.35311535173993197,True,True
75,11739,0.14139416248850598,0.14139416248850598,0.0,0.141394162,False,0.9900204881638571,0.15331285910424802,4.846687140895752,0.3533202186399592,True,True
76,11740,0.14138929474236553,0.14138929474236553,0.0,0.141389295,False,0.990021174131953,0.15331331813782656,4.846686681862174,0.35330909366411195,True,True
77,11741,0.1413663356722954,0.1413663356722954,0.0,0.141366336,False,0.9900244092329051,-0.0018431408789896366,5.001843140878989,0.3532525135055009,True,True
78,11742,0.14140625176433808,0.14140625176433808,0.0,0.141406252,False,0.9900187844284408,-0.0018387016025713581,5.001838701602571,0.35335487544545136,True,True
79,11743,0.14145153648967673,0.14145153648967673,0.0,0.141451536,False,0.9900124011893124,-0.001836818853046077,5.001836818853046,0.3534689892580056,True,True
