method,unit,condition,scheduled_phase,slot_state,attempt_id,status,artifact_parsed,artifact_sha256,reason,force_mae_n,force_rmse_n,force_peak_n,force_error_peak_n,load_min_n,path_rms_m,path_peak_m,progress_ratio,actual_progress_m,reference_progress_m,attitude_rms_rad,attitude_peak_rad,low_load_duration_s,saturation_ticks,qp_intervention_ticks,low_load_duration_definition
DSFC,1,nominal,initial,completed_feasible,DSFC-01-nominal,complete,True,31145a4dc39339177fc6981d19c5b0f62fb5d3daa2b1fbfe14e8820ce66a340b,,0.07148544211264947,0.1731847369265395,5.886298765527051,0.8862987655270507,4.271373160201399,0.0052188688454084834,0.00783436805810787,0.8750531086196801,0.1663653700641824,0.19012031204209906,0.020286003562893343,0.03696253797042048,0.0,0,82,duration of true_normal_load_n < 1 N on the declared sample grid; not geometric separation or physical contact loss
DSFC,1,disturbed,initial,completed_feasible,DSFC-01-disturbed,complete,True,ddae9fdc48084c2ee3c74a91099134f610a04aef739023398cf2023c05038ac3,,0.44449565553265974,0.8304375423925799,5.886298765527051,3.0347786696567463,1.9652213303432535,0.006486968402664049,0.014604131686663404,0.886158806622667,0.16848202501108056,0.190126220889459,0.0522204128800451,0.15517010060269817,0.0,579,4994,duration of true_normal_load_n < 1 N on the declared sample grid; not geometric separation or physical contact loss
DSFC,2,nominal,initial,completed_feasible,DSFC-02-nominal,complete,True,681213de0e2ae22ba75ed97ee953d4a2915aab0ddfea796a7e71101d40ebdde2,,0.060147431805473835,0.1491752201534267,5.716996111008771,0.7786845689614967,4.221315431038503,0.005215761908083787,0.007463391041626721,0.8735073591739986,0.16607151849501003,0.19012034272046627,0.022554950936157583,0.04162173085607919,0.0,0,0,duration of true_normal_load_n < 1 N on the declared sample grid; not geometric separation or physical contact loss
DSFC,2,disturbed,initial,completed_feasible,DSFC-02-disturbed,complete,True,f9565bc3c7e790a727e25bef62da49350b8c1796990e6467039b7a7d457d5eb5,,0.4312227285039504,0.8173568421627706,5.716996111008771,2.7363392533303528,2.2636607466696472,0.006356078416555873,0.013646222623353734,0.8827789513125344,0.16783937065716031,0.1901261583181307,0.05027800833540363,0.15130795443999878,0.0,367,5090,duration of true_normal_load_n < 1 N on the declared sample grid; not geometric separation or physical contact loss
DSFC,3,nominal,initial,completed_nominal_infeasible,DSFC-03-nominal,complete,True,6caf014f2f5b54bc9ccbd02a9c762b0c3c7b34f178f5d5d6df05d1ef412275fc,,0.12566956951139982,0.29561145411550577,6.4436914822985285,1.4436914822985285,3.729344866796209,0.005466874657774124,0.008265217452374823,0.8521951516701318,0.16201997114819325,0.19012073799137036,0.047078831197096965,0.092721114012592,0.0,0,155,duration of true_normal_load_n < 1 N on the declared sample grid; not geometric separation or physical contact loss
DSFC,3,disturbed,initial,completed_nominal_infeasible,DSFC-03-disturbed,complete,True,547db5e177ad9ea9a2ca82184f506c2190bf54a4d2a0b953710a9101af847823,,0.5029218822548621,1.0056818592607744,6.4436914822985285,3.911522442461579,1.0884775575384211,0.007699578598865492,0.02385292299330947,0.8652395252622735,0.16450601327888853,0.1901277143216765,0.06350511149539273,0.12741556003836874,0.0,2113,1023,duration of true_normal_load_n < 1 N on the declared sample grid; not geometric separation or physical contact loss
DSFC,4,nominal,initial,completed_nominal_infeasible,DSFC-04-nominal,complete,True,8d130644c2c0b9c1d579593a03faa7152f59c7bec3f8efa59b2af093523f38ef,,0.12676009552772685,0.29693742280048174,6.539447662192978,2.0425134563612852,2.9574865436387148,0.0052370192313916245,0.00774215444637218,0.8713493986554545,0.1656611017831724,0.19012017686452487,0.016251369892740314,0.03830240126526501,0.0,0,248,duration of true_normal_load_n < 1 N on the declared sample grid; not geometric separation or physical contact loss
DSFC,4,disturbed,initial,completed_nominal_infeasible,DSFC-04-disturbed,complete,True,4a00a855d3f6754c5fc6ba46148bc6930dcca2043b974df069c3128af315c7a2,,0.49366570638214696,0.8528618800790148,6.539447662192978,3.0960416147650296,1.9039583852349702,0.006567236734163667,0.01207788903084342,0.8894295931410348,0.16910477976046095,0.1901272243070581,0.04835479344825716,0.11315415927489561,0.0,0,248,duration of true_normal_load_n < 1 N on the declared sample grid; not geometric separation or physical contact loss
DSFC,5,nominal,initial,completed_nominal_infeasible,DSFC-05-nominal,complete,True,b2bc36f4560f70277bb1d5a94b2cbf1a9baca2aaa86ec8d75a31325a499fd201,,0.14686579325623492,0.3467189094420534,6.6931823557521435,1.7066331473404213,3.2933668526595787,0.005440926261733109,0.008579338885784679,0.8553672203843645,0.16262300798321758,0.1901206921515439,0.04316160133526774,0.08443363306140265,0.0,0,151,duration of true_normal_load_n < 1 N on the declared sample grid; not geometric separation or physical contact loss
DSFC,5,disturbed,initial,completed_nominal_infeasible,DSFC-05-disturbed,complete,True,9a97697d39d8acb0ab778f16a18feea8df17669b3433f4a4ddbeacf7fd0f38e0,,0.5171496453564689,0.9225652691277837,6.6931823557521435,3.406240654147852,1.5937593458521484,0.007215944820889832,0.01776733511797493,0.877228027502501,0.16678465272879414,0.190126908283626,0.06134995366854207,0.13501895423260754,0.0,1173,3732,duration of true_normal_load_n < 1 N on the declared sample grid; not geometric separation or physical contact loss
