sample_index,t_s,ur_fx_n,ur_fy_n,ur_fz_n,ur_tx_nm,ur_ty_nm,ur_tz_nm,ur_vx_mps,ur_vy_mps,ur_vz_mps,ur_wx_radps,ur_wy_radps,ur_wz_radps,urcap_fx_n,urcap_fy_n,urcap_fz_n,urcap_tx_nm,urcap_ty_nm,urcap_tz_nm
1303,2.606355417,-0.227253928021,-4.04481748439,-8.51505980195,0.152131279142,-0.0072643693244,0.00148412276104,0,0,0,0,0,0,0.041582,0.118672,0.0166610000019,0.002367,0.00665200000004,-0.00271699999989
1304,2.608369715,-0.0369462549,-3.84167207214,-8.15424394069,0.14489099212,-0.0132457746592,0.0119725631137,0,0,0,0,0,0,0.041582,0.118672,0.0166610000019,0.002367,0.00665200000004,-0.00271699999989
1305,2.610366921,0.174208494376,-4.02014608332,-8.39831428465,0.151364832578,0.000544598123307,0.0038889710203,0,0,0,0,0,0,0.071582,0.138671999998,0.0966610000022,-0.001633,0.00265200000001,-0.000716999999958
1306,2.612356362,-0.146952394986,-3.70392553574,-8.52719644504,0.138264806224,-0.0125093069812,0.0092941942681,0,0,0,0,0,0,0.071582,0.138671999998,0.0966610000022,-0.001633,0.00265200000001,-0.000716999999958
1307,2.614362525,0.000920076240648,-3.68276517062,-8.58370905254,0.141593311914,-0.0116936778799,0.0031807588121,0,0,0,0,0,0,0.071582,0.138671999998,0.0966610000022,-0.001633,0.00265200000001,-0.000716999999958
1308,2.616349902,-0.0158850702208,-3.73407952542,-8.59703403182,0.133333166618,-0.0101580619709,0.00722261918203,0,0,0,0,0,0,0.071582,0.138671999998,0.0966610000022,-0.001633,0.00265200000001,-0.000716999999958
1309,2.618374930,0.167944018968,-3.82883593689,-8.701382311,0.137991856316,0.00115908091327,0.00429369446096,0,0,0,0,0,0,0.081582,0.148671999998,0.136660000002,-0.001633,0.000652000000011,-0.00071699999999
1310,2.620358721,0.0423717694937,-3.74587391333,-8.94923353189,0.137629818722,-0.0115066703193,0.00553870427659,0,0,0,0,0,0,0.081582,0.148671999998,0.136660000002,-0.001633,0.000652000000011,-0.00071699999999
1311,2.622379762,-0.0598311352091,-3.43611200667,-8.46928333603,0.122512674136,-0.0101983884355,0.00802976463719,0,0,0,0,0,0,0.081582,0.148671999998,0.136660000002,-0.001633,0.000652000000011,-0.00071699999999
1312,2.624355527,0.33691102733,-3.88661694591,-8.49400450642,0.145845751765,-0.00253478238682,0.00986341560075,0,0,0,0,0,0,0.081582,0.148671999998,0.136660000002,-0.001633,0.000652000000011,-0.00071699999999
1313,2.626363533,0.392597316623,-3.85474351601,-8.35869572504,0.14180836364,0.00408007250341,0.0100732158886,0,0,0,0,0,0,0.021582,0.0986719999983,0.106661000002,0.007367,0.00965200000008,-0.00471699999985
1314,2.628364045,0.360642599382,-3.79430817202,-8.21522912905,0.144453461865,-0.00341670354778,-0.000317540320008,0,0,0,0,0,0,0.021582,0.0986719999983,0.106661000002,0.007367,0.00965200000008,-0.00471699999985
1315,2.630347044,-0.389551598756,-3.7892722068,-8.65609111849,0.136650310695,-0.0167426021241,0.00847689828175,0,0,0,0,0,0,0.021582,0.0986719999983,0.106661000002,0.007367,0.00965200000008,-0.00471699999985
1316,2.632366622,0.07560392011,-3.89103382387,-8.20508230464,0.152465016699,-0.0195025772678,0.016918491104,0,0,0,0,0,0,0.021582,0.0986719999983,0.106661000002,0.007367,0.00965200000008,-0.00471699999985
